resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
cement,1,PRUNED,30,115.29157962380145,0.9442122201812775,122.10346059879086,-0.5987452719747353,"[""own_macd_hist"", ""oil_vol_7"", ""own_z_5"", ""steel_ret_1"", ""oil_lag_14"", ""own_std_3"", ""dow"", ""copper_z_21"", ""own_dist_high_21"", ""own_std_14"", ""own_mom_21"", ""own_dist_mean_7"", ""own_std_45"", ""aluminium_ret_21"", ""own_mom_7"", ""aluminium_z_7"", ""own_range_21"", ""aluminium_z_21"", ""copper_lag_1"", ""own_ret_lag_30"", ""steel_z_7"", ""own_vol_60"", ""copper_lag_7"", ""oil_lag_7"", ""oil_egp"", ""oil_lag_1"", ""aluminium_vol_7"", ""own_vol_ratio"", ""ratio_own_copper_z21"", ""own_ret_lag_5""]"
cement,3,ALL,229,117.49653668488895,0.9033750141163222,130.06396551693828,,
cement,3,minus_own_lags,196,114.77897766412683,0.8824809947008659,130.06396551693828,-2.717559020762124,
cement,3,minus_own_rolling,172,119.60894426290406,0.919616311770283,130.06396551693828,2.112407578015109,
cement,3,minus_own_momentum,200,117.44843811865067,0.9030052071060013,130.06396551693828,-0.04809856623828068,
cement,3,minus_calendar,223,116.33256644165888,0.8944258002537132,130.06396551693828,-1.163970243230068,
cement,3,minus_cross_resource,164,117.16428609194794,0.9008204972551724,130.06396551693828,-0.33225059294100845,
cement,3,minus_fx,221,118.27672266810534,0.9093734932501509,130.06396551693828,0.7801859832163842,
cement,3,minus_external_macro,198,115.93886548758228,0.8913988207785616,130.06396551693828,-1.557671197306675,
cement,3,PRUNED,30,117.35039426793496,0.9022513945467269,130.06396551693828,-0.14614241695399244,"[""own_z_5"", ""own_dist_mean_21"", ""own_range_21"", ""aluminium_ret_1"", ""own_std_45"", ""ratio_own_aluminium_z21"", ""own_dist_low_7"", ""aluminium_vol_7"", ""oil_z_7"", ""copper_z_7"", ""dom"", ""own_range_5"", ""oil_ret_21"", ""own_ret_lag_5"", ""own_z_7"", ""oil_egp"", ""own_dist_high_7"", ""ratio_own_copper_z21"", ""own_usd_deflated"", ""oil_lag_1"", ""own_ret_lag_60"", ""oil_ret_5"", ""own_ret_lag_2"", ""steel_z_7"", ""iron_ore_ret_3m"", ""own_ret_lag_1"", ""relmom_own_aluminium_21"", ""own_rsi_14"", ""own_macd_hist"", ""own_mom_3""]"
cement,7,ALL,229,126.18309688035394,0.9626401401329276,131.08023613364986,,
cement,7,minus_own_lags,196,126.86815275985643,0.9678663733142899,131.08023613364986,0.6850558795024853,
cement,7,minus_own_rolling,172,131.49215620511097,1.003142503275941,131.08023613364986,5.30905932475703,
